Sample	Species	Location
ADD1	Iris atrofusca	Eldad
AND1	Iris atrofusca	Negev monument (andarta)
ASH7	Iris atropurpurea	Ashdod
AVV1b	Iris lortetii	Avivim
AYL3a	Iris lortetii	Ayelet Hashahar
P4	Iris lutescens	BelAir
Y5	Iris lutescens	BelAir inconnue
BER1	Iris mariae	Beer Malca
BRK2b	Iris haynei	Barkan
BTD3b	Iris lortetii	Beit Dajan
DMN7	Iris petrana	Dimona
DNA1	Iris petrana	Jordan
DR14	Iris atropurpurea	Dora, Netanya
DR8	Iris atropurpurea	Dora, Netanya
DSH1	Iris bismarckiana	Dishon
EFE12	Iris petrana	Efeh dunes
P1	Iris lutescens	Gardiole
GIV5b	Iris bismarckiana	Givat Hamore
GRL1	Iris atrofusca	Goral
HAL102	Iris mariae	Haluzit
HMD16b	Iris haynei	Hemdat
HUM1	Iris atropurpurea	Humra
HUM5	Iris atropurpurea	Humra
HUM_2	Iris atropurpurea	Humra
HYN2	Iris bismarckiana	Har Yona
IAR1y1	Iris atropurpurea	Iris atropurpurea reserve
Iris_mesop	Iris mesopotamica	Metula/Hermon
JDZ2	Iris auranitica	Jabel Druz
KDM6	Iris atropurpurea	Kadima
KDM4*	Iris atropurpurea	Kadima
KDM8*	Iris atropurpurea	Kadima
KDMWT	Iris atropurpurea	Kadima
KDS	Iris lortetii	Nahal Kedesh
KST1	Iris hermona	Keshet
KUR2	Iris atropurpurea	Kur
KUR3	Iris atropurpurea	Kur
KUR4	Iris atropurpurea	Kur
KUR7	Iris atropurpurea	Kur
MGL1	Iris haynei	Maale Gilboa
MHZ2b	Iris bismarckiana	Mahoz (Tefen)
MKH5a	Iris atrofusca	Makukh
MKS1	Iris atrofusca	Maale Mikhmas
MLK13	Iris lortetii	Malkia
MMS1c	Iris petrana	Mamshit
MNR1	Iris lortetii	Manara
MPL3	Iris hermona	Mapalim
MRT2	Iris atrofusca	Mar'it wadi
MRZ2a	Iris hermona	Shekh Marzuk
MSG2	Iris bismarckiana	Misgav wadi
MVH1	Iris haynei	Mevo-Hamma, lower pop near road
NET2	Iris atropurpurea	Netanya
NET3	Iris atropurpurea	Netanya
NET4	Iris atropurpurea	Netanya
NET7	Iris atropurpurea	Netanya
NRG2	Iris atropurpurea	Nir Galim
NRG3	Iris atropurpurea	Nir Galim
NRG5	Iris atropurpurea	Nir Galim
NSZ2	Iris atropurpurea	Nes Ziona
NSZ9	Iris atropurpurea	Nes Ziona
NSZ15	Iris atropurpurea	Nes Ziona
NSZ16	Iris atropurpurea	Nes Ziona
NTA7	Iris atropurpurea	Netaim
NYZ2	Iris mariae	Nir Ytzhak
NZR2	Iris bismarckiana	Nazarat
OLG1	Iris atropurpurea	Olga
OLG4	Iris atropurpurea	Olga
OLG8	Iris atropurpurea	Olga
OLG9	Iris atropurpurea	Olga
PAL8	Iris atropurpurea	Palmahim (Humra)
PLG9	Iris atropurpurea	Poleg
PLS2	Iris haynei	Peles
PUA7c	Iris lortetii	Pua Mt.
RJW1c	Iris bismarckiana	Rajib
RLZ18	Iris atropurpurea	Rishon LeZion
RMN1c	Iris atrofusca	Rimonim
SGL1a	Iris haynei	Mevo-Hamma, cliffs
SHF17	Iris atropurpurea	Shafdan
SHV1	Iris mariae	Shivta
SKR1	Iris mariae	Nahal Sekher
SMK8b	Iris hermona	Samak gorge, Golan
SMS8	Iris bismarckiana	Majdal Shams
Y6	Iris lutescens	St Jean
SUA1	Iris haynei	Malkishua
TKO19	Iris atrofusca	Tekoa
TLA2b	Iris atrofusca	Tel Arad
TLV1	Iris atropurpurea	Tel Aviv
TLV3	Iris atropurpurea	Tel Aviv
YAR1	Iris atrofusca	Mizpe Yair
YER47	Iris petrana	Yeruham
YFT1	Iris bismarckiana	Yiftach
YMN2	Iris petrana	Mishor Yamin
YQM10	Iris atropurpurea	Yaqum
ZEL2	Iris mariae	Ze'elim
ZFT1	Iris petrana	Zafit
ZRR1	Iris haynei	Mezar
